, C0,Dr No,Date Reported,Date Occurred,Time Occurred,Area Code,Area Name,Rpt Dist No,Part 1-2,Crime Code,Crime Description,Modus Operandi,Victim Age,Victim Gender,Victim Descent,Crime Location,Case Status,Street Address,Latitude,Longitude,Weapon Description,Cross Street,Age Group,Delay,Delay Category,Week Period,Month Period,Time Slot
0,605,201904032,2020-01-02,2020-01-01,1970-01-01 21:35:00,19,Mission,1924,1,761,Brandish Weapon,1822 3006 3028 3039 3032 3037 3101 4019 3602,41,Male,Hispanic/Latin/Mexican,Street,Adult Arrest,Astoria St,34.2949,-118.4571,Knife With Blade 6inches Or Less,SAN FERNANDO                 RD,Adult,1,2 days,2019-12-30,2020-01-01,20-22
1,279,201504076,2020-01-01,2020-01-01,1970-01-01 05:00:00,15,N Hollywood,1513,2,740,Vandalism - Felony,0329 1609,61,Female,White,Other Business,Invest Cont,12500 Vanowen St,34.194,-118.4052,Data Missing,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,4-6
2,482,200604051,2020-01-02,2020-01-01,1970-01-01 23:00:00,6,Hollywood,668,1,210,Robbery,0342 1822 0334 0432 0355 0337 0344,19,Male,Hispanic/Latin/Mexican,Street,Invest Cont,Fountain,34.0948,-118.3136,Knife With Blade 6inches Or Less,WILTON,Adult,1,2 days,2019-12-30,2020-01-01,22-24
3,500,201004075,2020-01-02,2020-01-02,1970-01-01 13:25:00,10,West Valley,1011,2,627,Child Abuse  - Simple Assault,1257 0416 0552 0408 0913 2001 2002,5,Female,Hispanic/Latin/Mexican,Single Family Dwelling,Adult Arrest,7400 Tampa Av,34.2048,-118.5535,Strong-arm,Data Missing,Child,0,1 day,2019-12-30,2020-01-01,12-14
4,521,201104077,2020-01-02,2020-01-02,1970-01-01 21:00:00,11,Northeast,1148,1,510,Vehicle - Stolen,1300 1317,25,Male,Hispanic/Latin/Mexican,Gas Station,Invest Cont,4400 N Figueroa St,34.0953,-118.2078,Data Missing,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,20-22
5,1201,200304190,2020-01-04,2020-01-04,1970-01-01 00:01:00,3,Southwest,377,2,930,Criminal Threats - No Weapon Displayed,1822 0443 0202,26,Male,Hispanic/Latin/Mexican,Street,Invest Cont,1200 W 39th St,34.0155,-118.2975,Verbal Threat,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,0-2
6,1224,200304301,2020-01-04,2020-01-04,1970-01-01 12:00:00,3,Southwest,321,2,624,Battery - Simple Assault,0446 0416 0556,26,Female,Black,Single Family Dwelling,Adult Other,3500 Enville Pl,34.0232,-118.3701,Strong-arm,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,12-14
7,1411,211504135,2020-01-04,2020-01-04,1970-01-01 10:45:00,15,N Hollywood,1553,1,442,Shoplifting - Petty Theft,2004 0325 0344,57,Male,Hispanic/Latin/Mexican,Market,Invest Cont,4700 Laurel Canyon Bl,34.1558,-118.3965,Data Missing,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,10-12
8,1656,200404157,2020-01-05,2020-01-03,1970-01-01 17:00:00,4,Hollenbeck,438,2,740,Vandalism - Felony,0329,54,Female,Hispanic/Latin/Mexican,Street,Invest Cont,5100 Ithaca Av,34.0722,-118.1754,Data Missing,Data Missing,Adult,2,3-7 days,2019-12-30,2020-01-01,16-18
9,1909,201204705,2020-01-05,2020-01-05,1970-01-01 19:00:00,12,77th Street,1266,2,624,Battery - Simple Assault,1251 1259 0361 0400 0416 0444 2002,14,Female,Black,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,900 W 80th St,33.9667,-118.2893,Strong-arm,Data Missing,Teenager,0,1 day,2019-12-30,2020-01-01,18-20
10,1975,201804221,2020-01-05,2020-01-05,1970-01-01 02:15:00,18,Southeast,1837,1,230,Assault With Deadly Weapon- Aggravated Assault,0913 0302 0334,47,Male,Black,Street,Invest Cont,11200 Wilmington Av,33.9363,-118.2426,Hand Gun,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,2-4
11,2055,200304322,2020-01-06,2020-01-05,1970-01-01 16:30:00,3,Southwest,379,2,745,Vandalism - Misdeameanor,0329 1300,49,Male,Black,"Vehicle, Passenger/truck",Invest Cont,1000 W 39th St,34.0155,-118.2915,Data Missing,Data Missing,Adult,1,2 days,2019-12-30,2020-01-01,16-18
12,2335,201404323,2020-01-06,2020-01-05,1970-01-01 16:00:00,14,Pacific,1433,1,320,Burglary- Attempted,1609 1501,0,Female,White,Other Business,Invest Cont,2000 Lincoln Bl,33.9956,-118.456,Data Missing,Data Missing,Unknown,1,2 days,2019-12-30,2020-01-01,16-18
13,2551,200204274,2020-01-07,2020-01-05,1970-01-01 18:00:00,2,Rampart,203,1,420,Theft From Motor Vehicle - Petty,0344 0385,43,Male,White,Street,Invest Cont,Madison Av,34.0836,-118.2892,Data Missing,MELROSE                      AV,Adult,2,3-7 days,2019-12-30,2020-01-01,18-20
14,2624,200904249,2020-01-07,2020-01-05,1970-01-01 02:00:00,9,Van Nuys,976,1,331,Theft From Motor Vehicle - Grand,0344,37,Male,Other,Parking Lot,Invest Cont,13300 Moorpark St,34.1504,-118.4225,Data Missing,Data Missing,Adult,2,3-7 days,2019-12-30,2020-01-01,2-4
15,2885,201804317,2020-01-07,2020-01-01,1970-01-01 12:00:00,18,Southeast,1802,2,354,Theft Of Identity,0377 1822 0929,19,Female,Hispanic/Latin/Mexican,Single Family Dwelling,Invest Cont,100 E 89th St,33.9556,-118.2739,Data Missing,Data Missing,Adult,6,3-7 days,2019-12-30,2020-01-01,12-14
16,2958,201604208,2020-01-07,2020-01-06,1970-01-01 23:30:00,16,Foothill,1643,2,626,Intimate Partner - Simple Assault,2000 1814 0416,32,Male,Hispanic/Latin/Mexican,Single Family Dwelling,Invest Cont,10600 Tamarack Av,34.2625,-118.4228,Strong-arm,Data Missing,Adult,1,2 days,2020-01-06,2020-01-01,22-24
17,3178,200404295,2020-01-08,2020-01-08,1970-01-01 20:30:00,4,Hollenbeck,478,2,624,Battery - Simple Assault,0444,52,Female,Hispanic/Latin/Mexican,Single Family Dwelling,Adult Other,1000 S Concord St,34.0266,-118.2042,Strong-arm,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,20-22
18,3447,201704372,2020-01-08,2020-01-08,1970-01-01 13:29:00,17,Devonshire,1779,1,210,Robbery,0315 0344 0378 0334 0337 0202 0209 1309 1822 1420,0,Unknown,Unknown,Restaurant/fast Food,Adult Arrest,15600 Nordhoff St,34.2409,-118.478,Hand Gun,Data Missing,Unknown,0,1 day,2020-01-06,2020-01-01,12-14
19,3785,201904385,2020-01-09,2020-01-08,1970-01-01 17:00:00,19,Mission,1981,1,330,Burglary From Vehicle,0344,33,Male,Hispanic/Latin/Mexican,Parking Lot,Invest Cont,8500 Sepulveda Bl,34.2267,-118.4704,Unknown Weapon/other Weapon,Data Missing,Adult,1,2 days,2020-01-06,2020-01-01,16-18
20,3869,202104414,2020-01-09,2020-01-08,1970-01-01 01:05:00,21,Topanga,2158,1,310,Burglary,1601 0344 0324 1607 1602,0,Male,White,Other Business,Invest Cont,6300 Canoga Av,34.1829,-118.5975,Data Missing,Data Missing,Unknown,1,2 days,2020-01-06,2020-01-01,0-2
21,3978,201604346,2020-01-09,2020-01-09,1970-01-01 17:30:00,16,Foothill,1623,2,626,Intimate Partner - Simple Assault,0400 1814 2000 0444,22,Female,Hispanic/Latin/Mexican,Single Family Dwelling,Invest Cont,12900 Carl Pl,34.2668,-118.4161,Strong-arm,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,16-18
22,4302,201304552,2020-01-10,2020-01-10,1970-01-01 09:15:00,13,Newton,1313,2,745,Vandalism - Misdeameanor,0329,45,Female,Hispanic/Latin/Mexican,"Vehicle, Passenger/truck",Invest Cont,14th St,34.029,-118.248,Data Missing,PALOMA                       ST,Adult,0,1 day,2020-01-06,2020-01-01,8-10
23,4681,200604471,2020-01-11,2020-01-11,1970-01-01 05:10:00,6,Hollywood,663,1,210,Robbery,1822 0344 0400 0334 0302 1300 1402,25,Male,White,Parking Lot,Adult Arrest,1000 N Sycamore Av,34.0889,-118.3428,Semi-automatic Pistol,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,4-6
24,4772,201104438,2020-01-11,2020-01-09,1970-01-01 17:22:00,11,Northeast,1148,1,440,Theft Plain - Petty,0344,66,Male,White,Patio,Invest Cont,400 Quail Dr,34.1009,-118.2087,Data Missing,Data Missing,Old,2,3-7 days,2020-01-06,2020-01-01,16-18
25,5022,200204553,2020-01-12,2020-01-12,1970-01-01 14:00:00,2,Rampart,269,1,236,Intimate Partner - Aggravated Assault,2000 1814 1813 0913 0334 0445 0446 0416 0369,43,Male,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Adult Other,700 Hartford Av,34.0522,-118.2673,Strong-arm,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,14-16
26,5220,200404435,2020-01-12,2020-01-12,1970-01-01 08:30:00,4,Hollenbeck,478,2,626,Intimate Partner - Simple Assault,2000 0400 1814,29,Female,Hispanic/Latin/Mexican,Sidewalk,Adult Other,900 S Dacotah St,34.0299,-118.2068,Strong-arm,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,8-10
27,5597,201104531,2020-01-13,2020-01-13,1970-01-01 13:30:00,11,Northeast,1151,1,230,Assault With Deadly Weapon- Aggravated Assault,1402 2004 1822,41,Male,White,"Multi-unit Dwelling (apartment, Duplex, Etc)",Adult Arrest,Edgemont St,34.0982,-118.2961,Rock/thrown Object,SUNSET                       BL,Adult,0,1 day,2020-01-13,2020-01-01,12-14
28,6062,200304757,2020-01-14,2020-01-14,1970-01-01 10:00:00,3,Southwest,376,2,624,Battery - Simple Assault,1202 2038 0416 2004 0356 0429 0913,63,Female,Black,Single Family Dwelling,Invest Cont,1300 Exposition Bl,34.0182,-118.3002,Strong-arm,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,10-12
29,6282,202004612,2020-01-14,2020-01-13,1970-01-01 06:35:00,20,Olympic,2015,2,354,Theft Of Identity,0100 0930,47,Female,White,Single Family Dwelling,Invest Cont,200 N Kenmore Av,34.0746,-118.2966,Data Missing,Data Missing,Adult,1,2 days,2020-01-13,2020-01-01,6-8
30,6322,201804705,2020-01-14,2020-01-14,1970-01-01 15:00:00,18,Southeast,1834,2,624,Battery - Simple Assault,0400 0416 0913,12,Male,Hispanic/Latin/Mexican,Alley,Invest Cont,900 E 108th St,33.9383,-118.2587,Strong-arm,Data Missing,Child,0,1 day,2020-01-13,2020-01-01,14-16
31,6459,201704591,2020-01-14,2020-01-14,1970-01-01 13:30:00,17,Devonshire,1764,1,420,Theft From Motor Vehicle - Petty,0385 0344,36,Male,White,Parking Lot,Invest Cont,9300 Tampa Av,34.244,-118.5583,Data Missing,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,12-14
32,6567,200304853,2020-01-15,2020-01-12,1970-01-01 13:15:00,3,Southwest,355,2,662,Bunco- Grand Theft,0100 0344 0701 0800 1202 1822,61,Male,Black,Single Family Dwelling,Invest Cont,1700 W 36th St,34.0228,-118.3089,Data Missing,Data Missing,Adult,3,3-7 days,2020-01-06,2020-01-01,12-14
33,6636,200804648,2020-01-15,2020-01-15,1970-01-01 16:16:00,8,West LA,839,1,343,Shoplifting-grand Theft,1420 1822 0104,0,Unknown,Unknown,Cell Phone Store,Invest Cont,10200 Santa Monica Bl,34.0605,-118.4193,Data Missing,Data Missing,Unknown,0,1 day,2020-01-13,2020-01-01,16-18
34,7288,200105102,2020-01-16,2020-01-16,1970-01-01 15:10:00,1,Central,153,2,626,Intimate Partner - Simple Assault,2000 1813 0913 0448 0444,37,Female,Hispanic/Latin/Mexican,Parking Lot,Adult Other,600 S Broadway,34.0459,-118.2526,Strong-arm,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,14-16
35,7503,201404937,2020-01-16,2020-01-16,1970-01-01 00:05:00,14,Pacific,1415,2,354,Theft Of Identity,1501,19,Male,White,Single Family Dwelling,Invest Cont,1500 Penmar Av,34.0047,-118.4587,Data Missing,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,0-2
36,7523,201704653,2020-01-16,2020-01-14,1970-01-01 10:00:00,17,Devonshire,1753,1,330,Burglary From Vehicle,0344,50,Male,White,Parking Lot,Invest Cont,10200 Mason Av,34.2555,-118.5798,Data Missing,Data Missing,Adult,2,3-7 days,2020-01-13,2020-01-01,10-12
37,7611,200105207,2020-01-17,2020-01-17,1970-01-01 09:00:00,1,Central,111,2,740,Vandalism - Felony,0329,43,Female,Other,"Vehicle, Passenger/truck",Invest Cont,600 New High St,34.0583,-118.2395,Data Missing,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,8-10
38,7755,200804753,2020-01-17,2020-01-17,1970-01-01 08:20:00,8,West LA,858,2,624,Battery - Simple Assault,0444 1822 0446,65,Male,Other,Alley,Invest Cont,Pico Bl,34.055,-118.3848,Strong-arm,CLARK                        DR,Old,0,1 day,2020-01-13,2020-01-01,8-10
39,7987,201604725,2020-01-17,2020-01-17,1970-01-01 00:15:00,16,Foothill,1654,1,341,Theft-grand Excpt-guns-fowl-livestk-prod,0344,46,Male,Hispanic/Latin/Mexican,Street,Invest Cont,9800 San Fernando Rd,34.2485,-118.4028,Data Missing,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,0-2
40,8220,200305032,2020-01-18,2020-01-18,1970-01-01 13:10:00,3,Southwest,343,1,210,Robbery,0906 0342 1402 0312 0334 0324 2024 1236 0432 1414,19,Unknown,Unknown,Restaurant/fast Food,Juv Arrest,3700 S La Brea Av,34.0199,-118.3608,Hand Gun,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,12-14
41,8477,201704704,2020-01-18,2020-01-18,1970-01-01 05:00:00,17,Devonshire,1761,1,330,Burglary From Vehicle,1307 1501 1609 1300 1822,38,Female,White,Street,Invest Cont,9600 Andora Av,34.2458,-118.6238,Data Missing,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,4-6
42,9236,200404733,2020-01-20,2020-01-17,1970-01-01 03:00:00,4,Hollenbeck,421,2,740,Vandalism - Felony,0329,44,Male,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,200 S Avenue 24,34.0736,-118.217,Data Missing,Data Missing,Adult,3,3-7 days,2020-01-13,2020-01-01,2-4
43,9328,200704933,2020-01-20,2020-01-20,1970-01-01 23:00:00,7,Wilshire,765,2,946,Other Miscellaneous Crime,1501,0,Male,Other,Police Facility,Invest Cont,4800 W Venice Bl,34.0466,-118.3414,Data Missing,Data Missing,Unknown,0,1 day,2020-01-20,2020-01-01,22-24
44,9794,200404813,2020-01-21,2020-01-08,1970-01-01 15:00:00,4,Hollenbeck,449,2,740,Vandalism - Felony,0329,56,Female,Hispanic/Latin/Mexican,Single Family Dwelling,Invest Cont,1100 Stone St,34.0509,-118.1932,Data Missing,Data Missing,Adult,13,8-30 days,2020-01-06,2020-01-01,14-16
45,9959,200704980,2020-01-21,2020-01-21,1970-01-01 21:30:00,7,Wilshire,734,2,900,Violation Of Court Order,2038 1501 1813,35,Female,Other,"Multi-unit Dwelling (apartment, Duplex, Etc)",Adult Arrest,5900 Lindenhurst Av,34.0663,-118.3567,Data Missing,Data Missing,Adult,0,1 day,2020-01-20,2020-01-01,20-22
46,104,201104035,2020-01-01,2020-01-01,1970-01-01 00:01:00,11,Northeast,1102,2,753,Discharge Firearms/shots Fired,1100 1402 1407,0,Unknown,Unknown,Street,Invest Cont,Baywood St,34.1353,-118.269,Unknown Weapon/other Weapon,BRUNSWICK                    AV,Unknown,0,1 day,2019-12-30,2020-01-01,0-2
47,195,201504080,2020-01-01,2020-01-01,1970-01-01 12:30:00,15,N Hollywood,1512,2,623,Battery Police,1212 0417 0356 0400,25,Female,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Adult Arrest,6900 Coldwater Canyon Av,34.1958,-118.4138,Strong-arm,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,12-14
48,212,201204061,2020-01-01,2020-01-01,1970-01-01 16:30:00,12,77th Street,1265,1,230,Assault With Deadly Weapon- Aggravated Assault,0305 1822 0411,42,Male,Hispanic/Latin/Mexican,Sidewalk,Invest Cont,Vermont,33.96,-118.2919,Knife With Blade 6inches Or Less,MANCHESTER,Adult,0,1 day,2019-12-30,2020-01-01,16-18
49,451,202004112,2020-01-02,2020-01-01,1970-01-01 02:30:00,20,Olympic,2027,1,331,Theft From Motor Vehicle - Grand,0344,39,Male,Other,Garage/carport,Invest Cont,500 S Kenmore Av,34.0654,-118.2966,Data Missing,Data Missing,Adult,1,2 days,2019-12-30,2020-01-01,2-4
50,529,200704122,2020-01-02,2020-01-02,1970-01-01 23:00:00,7,Wilshire,702,2,626,Intimate Partner - Simple Assault,0400,46,Female,White,Sidewalk,Adult Arrest,7400 Waring Av,34.0853,-118.3511,Strong-arm,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,22-24
51,597,201304151,2020-01-02,2020-01-02,1970-01-01 12:15:00,13,Newton,1364,2,930,Criminal Threats - No Weapon Displayed,0432 0422 0421 0913,38,Female,Black,Single Family Dwelling,Invest Cont,1100 E 48th St,33.9998,-118.2565,Verbal Threat,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,12-14
52,726,201704113,2020-01-02,2020-01-02,1970-01-01 08:30:00,17,Devonshire,1754,2,662,Bunco- Grand Theft,0701 1900 0100,63,Female,Hispanic/Latin/Mexican,Single Family Dwelling,Invest Cont,10100 Reseda Bl,34.2533,-118.5361,Data Missing,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,8-10
53,1270,200504180,2020-01-04,2020-01-04,1970-01-01 03:00:00,5,Harbor,557,1,320,Burglary- Attempted,0358 1607 1602 1236,0,Unknown,Unknown,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,500 W 5th St,33.7397,-118.2879,Data Missing,Data Missing,Unknown,0,1 day,2019-12-30,2020-01-01,2-4
54,1301,200604104,2020-01-04,2020-01-04,1970-01-01 11:30:00,6,Hollywood,646,1,230,Assault With Deadly Weapon- Aggravated Assault,2004 1822 0400 0416 1202 0445,60,Male,White,Church/chapel (changed 03-03 From Church/temple),Adult Arrest,6600 W Sunset Bl,34.098,-118.3332,Unknown Weapon/other Weapon,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,10-12
55,1442,202104158,2020-01-04,2020-01-04,1970-01-01 17:48:00,21,Topanga,2156,1,210,Robbery,0325 0352 0416 1822 0945,26,Male,Unknown,Department Store,Invest Cont,21900 Vanowen St,34.1938,-118.6044,Strong-arm,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,18-20
56,1482,202004165,2020-01-04,2020-01-03,1970-01-01 22:30:00,20,Olympic,2005,1,230,Assault With Deadly Weapon- Aggravated Assault,1822 0906 0216 1100 0302 0430,39,Male,White,Single Family Dwelling,Invest Cont,400 N Kingsley Dr,34.0777,-118.3035,Hand Gun,Data Missing,Adult,1,2 days,2019-12-30,2020-01-01,22-24
57,1520,201304182,2020-01-04,2020-01-04,1970-01-01 13:22:00,13,Newton,1395,2,940,Extortion,1912 0337 0421 0422 1913,48,Male,Hispanic/Latin/Mexican,Single Family Dwelling,Invest Cont,300 E 70th St,33.9762,-118.2695,Data Missing,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,12-14
58,1530,201304239,2020-01-04,2020-01-04,1970-01-01 17:40:00,13,Newton,1313,1,440,Theft Plain - Petty,0325 1300 1309,0,Unknown,Unknown,Restaurant/fast Food,Invest Cont,1900 S San Pedro St,34.0277,-118.2574,Data Missing,Data Missing,Unknown,0,1 day,2019-12-30,2020-01-01,18-20
59,2034,200104417,2020-01-06,2020-01-06,1970-01-01 21:00:00,1,Central,182,1,236,Intimate Partner - Aggravated Assault,0913 0319 1276 1414 1813 2000 0444 0416,26,Female,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,1200 S Figueroa St,34.0423,-118.2666,Strong-arm,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,20-22
60,2171,200404214,2020-01-06,2020-01-06,1970-01-01 09:30:00,4,Hollenbeck,424,2,624,Battery - Simple Assault,0400 0416 0561 0913,38,Female,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Juv Other,2200 Parkside Av,34.0705,-118.2001,Strong-arm,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,8-10
61,2454,201704252,2020-01-06,2020-01-06,1970-01-01 16:45:00,17,Devonshire,1755,1,210,Robbery,1259 1251 1606 0352 0216 0363 2024 0344 1501 1402,16,Male,Other,Single Family Dwelling,Invest Cont,10200 Lindley Av,34.2549,-118.5274,Hand Gun,Data Missing,Teenager,0,1 day,2020-01-06,2020-01-01,16-18
62,2500,201804294,2020-01-06,2020-01-04,1970-01-01 08:00:00,18,Southeast,1827,2,946,Other Miscellaneous Crime,0432 2038 0913 1309,53,Female,Black,Single Family Dwelling,Invest Cont,10000 Beach St,33.9457,-118.2419,Data Missing,Data Missing,Adult,2,3-7 days,2019-12-30,2020-01-01,8-10
63,2796,201504316,2020-01-07,2020-01-06,1970-01-01 22:00:00,15,N Hollywood,1543,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Street,Invest Cont,12400 Weddington St,34.1667,-118.403,Data Missing,Data Missing,Unknown,1,2 days,2020-01-06,2020-01-01,22-24
64,3347,201404561,2020-01-08,2020-01-08,1970-01-01 18:30:00,14,Pacific,1431,1,450,Theft From Person - Attempt,1822 0370 0355,34,Male,Hispanic/Latin/Mexican,Beach,Invest Cont,2000 Ocean Front Wk,33.9848,-118.4718,Data Missing,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,18-20
65,3393,202104347,2020-01-08,2020-01-06,1970-01-01 04:27:00,21,Topanga,2103,1,420,Theft From Motor Vehicle - Petty,0344 1606,55,Male,Other,Driveway,Invest Cont,8600 Delmonico Av,34.2284,-118.6128,Data Missing,Data Missing,Adult,2,3-7 days,2020-01-06,2020-01-01,4-6
66,3457,201504351,2020-01-08,2020-01-04,1970-01-01 09:35:00,15,N Hollywood,1541,2,956,Letters- Lewd  -  Telephone Calls- Lewd,0421,37,Male,White,Office Building/office,Invest Cont,12500 Magnolia Bl,34.1649,-118.4052,Data Missing,Data Missing,Adult,4,3-7 days,2019-12-30,2020-01-01,8-10
67,3543,200204581,2020-01-09,2020-01-09,1970-01-01 20:00:00,2,Rampart,269,1,440,Theft Plain - Petty,1822 1606 0344,34,Female,Black,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,1200 W 8th St,34.0496,-118.2677,Data Missing,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,20-22
68,3562,200304529,2020-01-09,2020-01-09,1970-01-01 12:48:00,3,Southwest,328,2,624,Battery - Simple Assault,1822 0444 1236,19,Male,Hispanic/Latin/Mexican,"Coffee Shop (starbucks, Coffee Bean, Peet's, Etc.)",Invest Cont,2700 S Figueroa St,34.0268,-118.2808,Strong-arm,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,12-14
69,3603,201904388,2020-01-09,2020-01-06,1970-01-01 13:00:00,19,Mission,1902,1,331,Theft From Motor Vehicle - Grand,0385,38,Male,Hispanic/Latin/Mexican,Street,Invest Cont,15000 Roxford St,34.3219,-118.4602,Data Missing,Data Missing,Adult,3,3-7 days,2020-01-06,2020-01-01,12-14
70,3892,202004369,2020-01-09,2020-01-08,1970-01-01 22:00:00,20,Olympic,2054,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Driveway,Invest Cont,900 S Normandie Av,34.0527,-118.3021,Data Missing,Data Missing,Unknown,1,2 days,2020-01-06,2020-01-01,22-24
71,4041,200204511,2020-01-10,2020-01-10,1970-01-01 03:35:00,2,Rampart,246,2,745,Vandalism - Misdeameanor,0329,67,Female,Other,"Vehicle, Passenger/truck",Invest Cont,1900 W 3rd St,34.0619,-118.2702,Data Missing,Data Missing,Old,0,1 day,2020-01-06,2020-01-01,2-4
72,4044,200204533,2020-01-10,2020-01-10,1970-01-01 15:00:00,2,Rampart,237,1,330,Burglary From Vehicle,0344 0377 1609 1307 1601,59,Female,Black,Parking Lot,Invest Cont,200 Belmont Av,34.0646,-118.263,Data Missing,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,14-16
73,4160,201004421,2020-01-10,2020-01-05,1970-01-01 08:00:00,10,West Valley,1088,1,440,Theft Plain - Petty,0394,27,Male,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,16700 Ventura Bl,34.1583,-118.497,Data Missing,Data Missing,Adult,5,3-7 days,2019-12-30,2020-01-01,8-10
74,4283,201404888,2020-01-10,2020-01-08,1970-01-01 15:00:00,14,Pacific,1494,2,740,Vandalism - Felony,1822 0329,0,Male,White,Transportation Facility (airport),Invest Cont,7000 World Wy,33.943,-118.4131,Data Missing,Data Missing,Unknown,2,3-7 days,2020-01-06,2020-01-01,14-16
75,4801,202004454,2020-01-11,2020-01-11,1970-01-01 07:00:00,20,Olympic,2033,1,440,Theft Plain - Petty,2032 0344,22,Female,Hispanic/Latin/Mexican,Restaurant/fast Food,Invest Cont,3700 Wilshire Bl,34.0617,-118.3066,Data Missing,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,6-8
76,4949,201804519,2020-01-11,2020-01-10,1970-01-01 22:00:00,18,Southeast,1826,1,420,Theft From Motor Vehicle - Petty,Data Missing,0,Unknown,Data Missing,Street,Invest Cont,103rd,33.9432,-118.2462,Data Missing,COMPTON,Unknown,1,2 days,2020-01-06,2020-01-01,22-24
77,5064,200504528,2020-01-12,2020-01-11,1970-01-01 20:30:00,5,Harbor,529,2,740,Vandalism - Felony,1300 0329,51,Male,Hispanic/Latin/Mexican,"Vehicle, Passenger/truck",Invest Cont,800 Sigsbee Av,33.7817,-118.2344,Data Missing,Data Missing,Adult,1,2 days,2020-01-06,2020-01-01,20-22
78,5317,201304634,2020-01-12,2020-01-12,1970-01-01 10:30:00,13,Newton,1346,1,210,Robbery,1822 0601 0416 0345 0325 0104 0945 0444 0417,46,Female,Hispanic/Latin/Mexican,Other Store,Invest Cont,4300 S Central Av,34.0058,-118.2565,Strong-arm,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,10-12
79,5565,201204850,2020-01-13,2020-01-12,1970-01-01 12:00:00,12,77th Street,1265,1,331,Theft From Motor Vehicle - Grand,0344 1606,41,Male,Black,Garage/carport,Invest Cont,1300 W 84th Pl,33.9617,-118.2985,Data Missing,Data Missing,Adult,1,2 days,2020-01-06,2020-01-01,12-14
80,5759,201504597,2020-01-13,2020-01-11,1970-01-01 16:15:00,15,N Hollywood,1548,1,440,Theft Plain - Petty,0344,28,Male,Hispanic/Latin/Mexican,Health Spa/gym,Invest Cont,5300 Lankershim Bl,34.167,-118.3759,Data Missing,Data Missing,Adult,2,3-7 days,2020-01-06,2020-01-01,16-18
81,6081,200404473,2020-01-14,2020-01-14,1970-01-01 03:20:00,4,Hollenbeck,426,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Street,Invest Cont,4800 Twining St,34.0839,-118.1762,Data Missing,Data Missing,Unknown,0,1 day,2020-01-13,2020-01-01,2-4
82,6453,201404852,2020-01-14,2020-01-13,1970-01-01 17:05:00,14,Pacific,1483,2,740,Vandalism - Felony,0329,68,Male,White,Condominium/townhouse,Invest Cont,8500 Falmouth Av,33.9588,-118.4374,Data Missing,Data Missing,Old,1,2 days,2020-01-13,2020-01-01,16-18
