,dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,crm_cd_2,location,lat,lon,weapon_used_cd,weapon_desc,cross_street,crm_cd_3,crm_cd_4
20,200104351,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,100,1,Central,162,1,330,BURGLARY FROM VEHICLE,1606 0344,37,M,B,108.0,PARKING LOT,IC,Invest Cont,330.0,,700 S  FIGUEROA                     ST,34.0494,-118.2599,,,,,
21,200104703,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1400,1,Central,119,1,330,BURGLARY FROM VEHICLE,1307 0344,27,M,W,108.0,PARKING LOT,IC,Invest Cont,330.0,,700    CENTER                       ST,34.0536,-118.2313,,,,,
22,201104052,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2030,11,Northeast,1105,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2004 1402 1020 1307 0329,0,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,740.0,998.0,2400    COLORADO                     BL,34.1442,-118.218,,,,,
23,200204015,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,250,2,Rampart,201,2,624,BATTERY - SIMPLE ASSAULT,1822 0910 2049 2051 0416 0446 0417 1206,40,M,H,801.0,MTA BUS,IC,Invest Cont,624.0,,VERMONT,34.0909,-118.2917,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",SANTA MONICA,,
24,200204019,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,200,2,Rampart,246,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1206 0305 0411 0432 0334 2047 2002 0913 1820,26,M,H,102.0,SIDEWALK,AA,Adult Arrest,230.0,,6TH                          ST,34.059,-118.2736,223.0,UNKNOWN TYPE CUTTING INSTRUMENT,WESTLAKE                     AV,,
25,200204021,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,950,2,Rampart,215,2,624,BATTERY - SIMPLE ASSAULT,2036 0416 0913 0361,54,M,H,102.0,SIDEWALK,IC,Invest Cont,624.0,,2700    LONDON                       ST,34.0758,-118.2749,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
26,200204024,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,300,2,Rampart,251,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300 1307 1278 2004 0906,27,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",JA,Juv Arrest,745.0,,RAMPART                      BL,34.0594,-118.2833,,,7TH                          ST,,
27,200204026,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,545,2,Rampart,237,1,220,ATTEMPTED ROBBERY,1206 2002 2024 0334 0432 0411 2047 1822 0305 0355,22,M,H,101.0,STREET,JA,Juv Arrest,220.0,,200    WITMER                       ST,34.061,-118.2615,200.0,KNIFE WITH BLADE 6INCHES OR LESS,,,
28,200204027,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,540,2,Rampart,216,2,888,TRESPASSING,0601,0,X,X,401.0,MINI-MART,IC,Invest Cont,888.0,,2200 W  SUNSET                       BL,34.0778,-118.2658,,,,,
29,200204029,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1355,2,Rampart,212,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0601 2004 2001,0,X,X,517.0,MISSIONS/SHELTERS,AO,Adult Other,740.0,,300 N  MADISON                      AV,34.0764,-118.2892,,,,,
30,200204033,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,300,2,Rampart,246,1,210,ROBBERY,0342 0344 0352 1817 0416 0447 0417 0202 0913 0906,29,M,H,102.0,SIDEWALK,IC,Invest Cont,210.0,,400 S  BONNIE BRAE                  ST,34.0598,-118.2734,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
31,200204034,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,400,2,Rampart,216,1,210,ROBBERY,0342 0344 0416 0446 0417 0429 1206 1822,23,M,W,203.0,OTHER BUSINESS,IC,Invest Cont,210.0,,2200 W  SUNSET                       BL,34.0778,-118.2658,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
32,200204046,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,335,2,Rampart,216,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0321 0329,0,X,X,401.0,MINI-MART,IC,Invest Cont,740.0,,2200 W  SUNSET                       BL,34.0778,-118.2658,,,,,
33,200204048,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2150,2,Rampart,279,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2000 1259 1251 1814 1912 0432 2024,14,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,930.0,,1500 W  OLYMPIC                      BL,34.0484,-118.2724,511.0,VERBAL THREAT,,,
34,200304050,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1830,3,Southwest,362,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1501,37,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,745.0,,4500    RODEO                        LN,34.0203,-118.3452,,,,,
35,200304051,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1,3,Southwest,319,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307,41,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,745.0,,2100    ESTRELLA                     AV,34.0332,-118.2759,,,,,
36,200300501,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,930,3,Southwest,392,2,624,BATTERY - SIMPLE ASSAULT,0330 0342 0344 0913 1309 0354 1822 0416 0429 0417,29,F,B,101.0,STREET,IC,Invest Cont,624.0,,2400 W  48TH                         ST,34.0001,-118.3192,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
37,200304046,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1130,3,Southwest,375,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104 1309 2021,19,X,X,402.0,MARKET,IC,Invest Cont,442.0,,2000 W  MARTIN LUTHER KING JR        BL,34.0146,-118.313,,,,,
38,200304048,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1600,3,Southwest,394,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1202 1821 1241 1813 0416 0446 0417,61,M,B,102.0,SIDEWALK,AA,Adult Arrest,626.0,,ARLINGTON                    AV,34.0108,-118.3182,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",MARTIN LUTHER KING JR        BL,,
39,200304049,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,930,3,Southwest,375,2,624,BATTERY - SIMPLE ASSAULT,0444 0913 1266,40,M,W,505.0,MOTEL,IC,Invest Cont,624.0,,3800 S  WESTERN                      AV,34.0146,-118.313,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
40,200304053,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1830,3,Southwest,375,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0444 0429 1814 2007 1218 1222,21,M,W,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,626.0,,1700    MIDDLETON                    PL,34.0156,-118.311,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
41,200304056,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1437,3,Southwest,329,2,888,TRESPASSING,0432 1501 0443,19,X,X,255.0,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)",IC,Invest Cont,888.0,,3300 S  FIGUEROA                     ST,34.0225,-118.2796,,,,,
42,200304061,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1615,3,Southwest,363,1,761,BRANDISH WEAPON,0334 1402 0302 0421 1822 0353 2021,50,M,B,101.0,STREET,AA,Adult Arrest,761.0,930.0,PALMYRA                      RD,34.0142,-118.3423,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,BUCKINGHAM                   RD,998.0,
43,200304069,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1,3,Southwest,319,1,330,BURGLARY FROM VEHICLE,1307 1609 0344 0329,41,M,H,101.0,STREET,IC,Invest Cont,330.0,,700 W  23RD                         ST,34.032,-118.2768,,,,,
44,200304070,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1530,3,Southwest,303,2,624,BATTERY - SIMPLE ASSAULT,1309 1310 0444 0432 0605,50,F,H,101.0,STREET,IC,Invest Cont,624.0,,2500 S  REDONDO                      BL,34.0339,-118.3557,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
45,200304071,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1020,3,Southwest,375,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0354 0344 1300,19,M,O,222.0,LAUNDROMAT,IC,Invest Cont,440.0,,1700 W  MARTIN LUTHER KING JR        BL,34.0146,-118.313,,,,,
46,200304073,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1300,3,Southwest,357,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 1821 0448 0443,23,M,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,626.0,,1100    EXPOSITION                   BL,34.0219,-118.2959,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
47,200304092,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1,3,Southwest,312,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1307 1609 0329,34,F,W,101.0,STREET,IC,Invest Cont,740.0,,2700 S  MANSFIELD                    AV,34.0308,-118.3529,,,,,
48,200400501,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,200,4,Hollenbeck,442,1,121,"RAPE, FORCIBLE",0500 0360 0527 0913 1402,23,F,H,501.0,SINGLE FAMILY DWELLING,AA,Adult Arrest,121.0,998.0,1000    MARK                         ST,34.0573,-118.2126,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
49,200400503,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1700,4,Hollenbeck,488,1,310,BURGLARY,0344 0327,72,M,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,310.0,,3200 E  8TH                          ST,34.0238,-118.2058,,,,,
50,200400504,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2200,4,Hollenbeck,424,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1407 0334 1100 0371 0906 1822,29,M,H,101.0,STREET,IC,Invest Cont,230.0,998.0,DARWIN,34.07,-118.1998,102.0,HAND GUN,THOMAS,,
51,200404002,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,35,4,Hollenbeck,457,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 0302 0430 1822,41,M,H,101.0,STREET,IC,Invest Cont,230.0,,2400 E  CESAR E CHAVEZ               AV,34.0469,-118.2032,106.0,UNKNOWN FIREARM,,,
52,200404007,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,652,4,Hollenbeck,426,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,IC,Invest Cont,510.0,,5000    TEMPLETON                    ST,34.0852,-118.1739,,,,,
53,200404008,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,420,4,Hollenbeck,463,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 0400 0416 1814,48,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,626.0,,2000    NEW JERSEY                   ST,34.0481,-118.2133,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
54,200404009,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,500,4,Hollenbeck,467,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0447 0416 0913 0555 2004,42,F,H,501.0,SINGLE FAMILY DWELLING,AA,Adult Arrest,230.0,,2400 E  2ND                          ST,34.0421,-118.2108,500.0,UNKNOWN WEAPON/OTHER WEAPON,,,
55,200404012,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,230,4,Hollenbeck,445,2,762,LEWD CONDUCT,2004 0500 0528 0529 1822,36,F,B,203.0,OTHER BUSINESS,IC,Invest Cont,762.0,,2000    MARENGO                      ST,34.0571,-118.2084,,,,,
56,200404013,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,230,4,Hollenbeck,428,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,IC,Invest Cont,510.0,,2800    BUDAU                        AV,34.0808,-118.1738,,,,,
57,200404020,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1400,4,Hollenbeck,455,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1402,0,M,X,248.0,CELL PHONE STORE,IC,Invest Cont,440.0,998.0,2100 E  CESAR E CHAVEZ               AV,34.0512,-118.2093,,,,,
58,200404021,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2000,4,Hollenbeck,461,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 0371 0430 0334 1407 0906 1822,52,M,H,101.0,STREET,IC,Invest Cont,230.0,998.0,100 S  PECAN                        ST,34.0474,-118.2217,102.0,HAND GUN,,,
59,200404022,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1510,4,Hollenbeck,448,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0416 0446,35,F,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,626.0,,1500    CRUSADO                      LN,34.059,-118.1947,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
60,200404025,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,130,4,Hollenbeck,455,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1813 1243 0417 2002 2000,44,F,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,626.0,,2300    BARLOW                       ST,34.0531,-118.2054,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
61,200404026,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,130,4,Hollenbeck,455,2,624,BATTERY - SIMPLE ASSAULT,0552 0446,27,M,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,624.0,,2300    BARLOW                       ST,34.0531,-118.2054,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
62,200404028,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,536,4,Hollenbeck,439,2,901,VIOLATION OF RESTRAINING ORDER,2038,75,M,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,901.0,,1800    MARNEY                       AV,34.0625,-118.1766,,,,,
63,200404029,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1900,4,Hollenbeck,488,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,67,F,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,740.0,,3400    GARNET                       ST,34.0231,-118.2039,,,,,
64,200500501,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,5,5,Harbor,504,2,753,DISCHARGE FIREARMS/SHOTS FIRED,0329 1100 1407,0,X,X,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,753.0,998.0,1600    205TH                        ST,33.8448,-118.3066,116.0,ANTIQUE FIREARM,,,
65,200504003,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,700,5,Harbor,526,1,210,ROBBERY,1816 0432 0354 0334 0302 0216 0916 0906 0913,33,M,H,108.0,PARKING LOT,AA,Adult Arrest,210.0,,900    ISLAND                       AV,33.7815,-118.2667,101.0,REVOLVER,,,
66,200504006,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1945,5,Harbor,503,1,210,ROBBERY,1100 1407 1313 0337 0302 0450 1822,31,M,H,102.0,SIDEWALK,IC,Invest Cont,210.0,,1000 W  253RD                        ST,33.7947,-118.2928,102.0,HAND GUN,,,
67,200504009,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2100,5,Harbor,526,2,946,OTHER MISCELLANEOUS CRIME,1501 0906 1816,0,X,X,101.0,STREET,AA,Adult Arrest,946.0,,G,33.7783,-118.2662,,,ISLAND,,
68,200504010,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2100,5,Harbor,526,1,350,"THEFT, PERSON",0400 1300 2000 0344 1814,20,F,B,102.0,SIDEWALK,AA,Adult Arrest,350.0,,G,33.7783,-118.2662,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",ISLAND,,
69,200504017,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,100,5,Harbor,507,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0450 0216 0906 1822 0309 1017,20,M,H,121.0,YARD (RESIDENTIAL/BUSINESS),IC,Invest Cont,230.0,,1600    228TH                        ST,33.819,-118.3063,102.0,HAND GUN,,,
70,200504019,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1000,5,Harbor,564,1,220,ATTEMPTED ROBBERY,0906 0417 0374 0371 2048 0355 0416 1259 0446 0429,15,M,H,101.0,STREET,JO,Juv Other,220.0,,200 S  CENTRE                       ST,33.7424,-118.2835,207.0,OTHER KNIFE,,,
71,200504021,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1930,5,Harbor,558,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1206 2002 0913 0416 1813 2000,36,F,H,501.0,SINGLE FAMILY DWELLING,AA,Adult Arrest,626.0,,100 W  SANTA CRUZ                   ST,33.7442,-118.2796,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
72,200504032,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,400,5,Harbor,531,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0319 0417 0447 1814 2000,20,F,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,626.0,,1600 W  260TH                        ST,33.7869,-118.3043,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
73,200504035,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,430,5,Harbor,526,1,330,BURGLARY FROM VEHICLE,0345 0344 1300 1601 1822 0216,45,M,H,104.0,DRIVEWAY,IC,Invest Cont,330.0,,200 W  G                            ST,33.7785,-118.2636,,,,,
74,200504036,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2130,5,Harbor,557,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,19,M,B,401.0,MINI-MART,IC,Invest Cont,440.0,,500 S  GAFFEY                       ST,33.7397,-118.2923,,,,,
75,200504040,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1250,5,Harbor,589,2,624,BATTERY - SIMPLE ASSAULT,0417 0429 0319 0447 0432 1822 0216 0342,52,F,W,117.0,BEACH,IC,Invest Cont,624.0,,3700    STEPHEN M WHITE              DR,33.7105,-118.286,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
76,200504050,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1730,5,Harbor,515,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1307 1243 1814 0329 2000 0913,25,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",AO,Adult Other,745.0,,1600 N  AVALON                       BL,33.7948,-118.2694,,,,,
77,200504051,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,700,5,Harbor,524,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0311 0329,0,X,X,702.0,OFFICE BUILDING/OFFICE,IC,Invest Cont,745.0,,1000 W  C                            ST,33.7721,-118.2736,,,,,
78,200504052,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1400,5,Harbor,551,2,888,TRESPASSING,0361 0913 0603,29,M,W,501.0,SINGLE FAMILY DWELLING,AO,Adult Other,888.0,,1800 W  SANTA CRUZ                   ST,33.7451,-118.3141,,,,,
